ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100014,109,13,108000072,09160,롯데마트삼양점.래미안1차아파트,127.018224,37.62529479
100100009,104,13,108000078,09166,삼양동사거리.래미안트리베라,127.021308,37.6180883
100100091,606,13,210000365,46013,KT부천지사,126.7752557,37.48684462
100100010,105,13,110000062,11162,공릉역4번출구,127.072314,37.62661
100100593,N13,13,110000002,11102,공릉시장,127.0736212,37.62311604
100100056,341,13,124000357,25011,강동역,127.13245,37.535907
100100254,5517,13,120000068,21170,산장아파트,126.927725,37.459955
100100604,4211,13,122000046,23146,논현고개,127.0321076,37.51144604
100100605,463,13,122000046,23146,논현고개,127.0321076,37.51144604
124000038,342,13,124000005,25105,해뜨는주유소,127.170805,37.559102
100100103,701,13,111000110,12198,은평경찰서,126.929277,37.628117
111000028,709,13,111000110,12198,은평경찰서,126.929277,37.628117
100100498,3318,13,124000033,25133,상일동역1번출구,127.163945,37.556517
104000011,N31,13,124000049,25149,강일중.선사고,127.137023,37.554863
100100553,350,13,123000073,24162,잠실근린공원.성현교회,127.081873,37.506274
100100030,151,13,108000044,09132,인수동청수탕입구,127.012868,37.637168
107000009,8111,13,100000076,01172,창덕궁.우리소리박물관,126.9885394,37.57754057
100100293,6713,13,116000002,17002,신도림역,126.8884639,37.50910805
100100130,1017,13,107000184,08280,장위1동치안센터,127.046111,37.613943
100100104,702A,13,111000058,12146,서울경찰청86.87기동대.우남아파트,126.9058308,37.61852843
120900001,동작13,13,119900194,20725,동원베네스트,126.9451749,37.50345392
100100308,6631,13,115000208,16305,서울백영고등학교,126.8168323,37.56951691
100100043,261,13,107000132,08222,장곡초교사거리,127.049918,37.617257
100100037,172,13,107000197,08293,장곡초교,127.0485302,37.61620243
110900006,노원09,13,110000181,11281,월계현대아파트,127.063398,37.61932
100100146,1130,13,110000181,11281,월계현대아파트,127.063398,37.61932
120900003,관악03,13,120900094,21686,당곡역.당곡사거리,126.9287658,37.48873105
110900005,노원03,13,110900108,11583,청솔7단지아파트,127.0722281,37.63173035
100100075,472,13,122000113,23216,한국토지주택공사앞,127.043208,37.512637
107000001,1116,13,108000085,09173,성암국제무역고등학교,127.0255231,37.61794239
100100329,6657,13,115000110,16207,화곡역1번출구,126.839517,37.542798
100100549,100,13,110000353,11454,하계우성아파트,127.066652,37.63514
111000022,707,13,219000365,36693,백병원(중),126.7510126,37.67456406
100100511,760,13,219000352,36148,일산병원,126.7923478,37.64496432
100100087,602,13,114000171,15274,신정역(은행정).신정4동주민센터,126.8542989,37.52463013
100100588,N62,13,114000171,15274,신정역(은행정).신정4동주민센터,126.8542989,37.52463013
100100589,N61,13,117000112,18198,관악구보훈회관.신림푸르지오,126.90914,37.48064
100100129,1014,13,107000209,08305,성신여대입구역3번출구.돈암시장,127.016715,37.591444
100100344,7211,13,111000148,12237,삼천리골입구56사단북한산부대,126.933315,37.650083
100100142,1126,13,109000164,10250,창동서울탁주앞,127.037383,37.637708
115900006,강서01,13,115900101,16897,수정빌딩,126.8476446,37.54568011
100100359,7728,13,219000252,36094,북일산전화국.일산2동행정복지센,126.7762377,37.68492699
100100188,2013,13,105000218,06304,전동초등학교.전농동SK아파트,127.061495,37.57812
100100154,1139,13,110000274,11375,중계건영2차아파트,127.065243,37.646097
100100353,7722,13,111000188,12278,한솔아파트입구선정중학교후문,126.9137542,37.61607813
100100447,7016,13,113000067,14158,성산2동주민센터,126.9083263,37.56779282
100100348,7711,13,113000067,14158,성산2동주민센터,126.9083263,37.56779282
100100201,2224,13,103000142,04244,경동초등학교입구,127.0492129,37.5433913
100100209,2412,13,104000128,05221,롯데캐슬리버파크시그니처아파트,127.0628993,37.53660675
100100212,3212,13,124000145,25256,강동고등학교,127.1603417,37.55022121
100100191,2112,13,105000222,06308,한국산업인력공단서울지역본부,127.07297,37.58375
100100550,662,13,114000425,15421,신정이펜하우스3.4단지,126.83046,37.511293
100100346,7612,13,112000068,13151,연희3거리,126.93161,37.567933
100100267,5535,13,117000003,18003,금천우체국,126.898028,37.468978
100100525,8772,13,111000346,12441,입곡삼거리,126.937378,37.651691
100100097,650,13,115000077,16174,아이파크아파트.백석중학교.실로암안과,126.8621413,37.5451449
100100215,3216,13,123000043,24132,잠실역8번출구,127.101538,37.51401
100100124,0017,13,102000227,03321,청심경로당,126.950688,37.533887
100100360,7730,13,111000327,12422,연서중학교입구,126.9122782,37.58622944
100100213,3214,13,123000173,24263,오금공원사거리,127.1310587,37.50637915
100100218,3220,13,123000376,24468,풍납현대아파트,127.1193611,37.52875878
100100057,360,13,123000054,24143,종합운동장사거리,127.079682,37.51206
100100186,2012,13,106000035,07129,신내지하차도,127.0971022,37.59947349
100100210,2413,13,103000144,04246,경일초등학교앞,127.048175,37.540917
100100219,3313,13,123000159,24249,오금역.오금동현대아파트,127.1264326,37.50329446
100100229,3417,13,123000159,24249,오금역.오금동현대아파트,127.1264326,37.50329446
123000013,N73,13,123000135,24224,잠실3차한양아파트,127.1217138,37.50591435
100100226,3414,13,123000300,24391,서울방이동고분군,127.1161985,37.50820966
124000010,8331,13,123000126,24215,송파구청.방이맛골,127.107792,37.513352
104900001,광진04,13,104000007,05007,어린이대공원후문.아차산역,127.0892142,37.5527549
100100279,5623,13,225000004,40134,경기폴리텍고등학교,126.9236618,37.35900351
113900017,마포18-1,13,113000203,14306,월드컵파크4단지후문.JTBC,126.889942,37.577856
100100574,541,13,225000128,40067,삼성아파트입구,126.9399987,37.37025063
100100264,5530,13,225000127,40060,금정역,126.9421569,37.37167296
100100171,1164,13,107000231,08327,성북우체국.현대백화점,127.0293808,37.6078214
100100478,3317,13,123000274,24365,문정1동주민센터.로데오거리,127.124333,37.490657
121900005,서초03,13,122000023,23123,영동시장.논현역3번출구,127.0223963,37.50934621
116900011,구로04,13,116000117,17207,대원주유소,126.8565298,37.4869344
100100274,5617,13,117000008,18008,금천구청.금천경찰서,126.8993,37.457841
100100055,340,13,124000039,25139,고덕역,127.155862,37.555437
100100224,3412,13,124000066,25166,상일동역2번출구,127.1654239,37.55718019
100100260,5524,13,120000451,21364,조원아파트,126.90782,37.484088
114000002,8641,13,116000033,17119,구로종합사회복지관,126.889168,37.487893
100100155,1140,13,110000119,11219,상계119안전센터,127.071837,37.654227
100100158,1143,13,110000121,11221,상계동주유소,127.0718499,37.65775198
100100305,6628,13,115000311,16425,화곡2동주민센터,126.854478,37.531179
112900009,서대문05,13,112900041,13793,CGV신촌아트레온,126.9385549,37.55579274
119900021,동작12,13,119900186,20741,대방역1번출구,126.9274282,37.51306991
100100086,601,13,115000593,16012,한국가스기술공사,126.843735,37.557972
121900006,서초11,13,121900102,22554,롯데캐슬클래식.사랑의교회,127.0229573,37.49973745
107900005,성북04,13,105000093,06179,종암초등학교앞,127.0295992,37.58161861
100100462,7715,13,111000221,12311,수색역,126.896196,37.581891
121900009,서초01,13,121900108,22560,경원중학교,127.0095535,37.51187332
119900006,동작10,13,119900108,20890,상도역5번출구,126.9489458,37.50357996
119900010,동작15,13,119900075,20511,이수역,126.9806262,37.48500144
119900001,동작20,13,119900198,20702,동작고등학교,126.9664442,37.48157226
119900020,동작03,13,119900197,20703,KT동작지사,126.9344731,37.51218014
120900002,관악10,13,120900012,21582,삼모타워앞.건강보험관악지사,126.9284597,37.48240061
120900010,관악05,13,120900092,21677,동부아파트,126.9282143,37.48132003
120900005,관악01,13,120000135,21237,동아아파트105동앞,126.955413,37.49053
100100118,753,13,111000120,12208,역촌초등학교,126.9155726,37.60279293
